timestamp,v_x,w_z
1716433463.930756740,0.0104379,0.00610865
1716433463.980831267,0.020707,0.00610865
1716433464.030781283,0.020707,0.00610865
1716433464.080792758,0.0137997,0.00610865
1716433464.130749008,0.0137997,0.00610865
1716433464.180765999,0.00811282,0.00610865
1716433464.230891954,0.00811282,0.00610865
1716433464.280746009,0.0108937,0.00610865
1716433464.330874868,0.0108937,0.00610865
1716433464.380774737,0.00925046,0.00610865
1716433464.430797847,0.00925046,0.00610865
1716433464.480859838,0.00925046,0.00610865
1716433464.530816780,0.019265,0.00610865
1716433464.580832715,0.0258498,0.00610865
1716433464.630782433,0.0258498,0.00610865
1716433464.680845019,0.0311904,0.00610865
1716433464.730883005,0.0311904,0.00610865
1716433464.780853043,0.0115001,0.00610865
1716433464.830847844,0.0115001,0.00610865
1716433464.880853365,0.0147012,0.00610865
1716433464.930901366,0.0147012,0.00610865
1716433464.980853531,0.0147012,0.00610865
1716433465.030833107,0.0166667,0.00610865
1716433465.080774796,0.00459804,0.00610865
1716433465.130864359,0.00459804,0.00610865
1716433465.180858012,0.00972222,0.00610865
1716433465.230811226,0.00972222,0.00610865
1716433465.280886933,0.0157184,0.00610865
1716433465.330859969,0.0157184,0.00610865
1716433465.380881254,0.00871798,0.00610865
1716433465.430871467,0.00871798,0.00610865
1716433465.480847390,0.0134055,0.00610865
1716433465.530911141,0.0134055,0.00610865
1716433465.580784871,0.00496904,0.00610865
1716433465.630858209,0.00496904,0.00610865
1716433465.680840291,0.0215739,0.00610865
1716433465.730812552,0.0215739,0.00610865
1716433465.780914126,0.0322414,0.00610865
1716433465.830888760,0.0322414,0.00610865
1716433465.880931091,0.0234455,0.00610865
1716433465.930872119,0.0234455,0.00610865
1716433465.980910137,0.018268,0.00610865
1716433466.030906177,0.018268,0.00610865
1716433466.080911574,0.0289449,0.00610865
1716433466.130900927,0.0289449,0.00610865
1716433466.180880993,0.0371361,0.00610865
1716433466.230926411,0.0371361,0.00610865
1716433466.280913381,0.0433992,0.00610865
1716433466.330948333,0.0433992,0.00610865
1716433466.380861736,0.0236372,0.00610865
1716433466.430939659,0.0236372,0.00610865
1716433466.480923038,0.0259391,0.00610865
1716433466.530944252,0.0259391,0.00610865
1716433466.580914730,0.0383957,0.00610865
1716433466.630956781,0.0383957,0.00610865
1716433466.680942086,0.0155655,0.00610865
1716433466.730937571,0.0155655,0.00610865
1716433466.780981032,0.02225,0.00610865
1716433466.830880140,0.02225,0.00610865
1716433466.880978519,0.0477907,0.00610865
1716433466.930929502,0.0477907,0.00610865
1716433466.980944518,0.00157135,0.00610865
1716433467.030973721,0.00157135,0.00610865
1716433467.080893587,0.0128049,0.00610865
1716433467.130967384,0.0128049,0.00610865
1716433467.180948376,0.017258,0.00610865
1716433467.230995130,0.017258,0.00610865
1716433467.281118297,0.0295282,0.00610865
1716433467.330910420,0.0295282,0.00610865
1716433467.380968926,0.0262658,0.00610865
1716433467.430931415,0.0262658,0.00610865
1716433467.481010371,0.0109608,0.00610865
1716433467.531026707,0.0109608,0.00610865
1716433467.580962939,0.0212713,0.00610865
1716433467.630993103,0.0212713,0.00610865
1716433467.680921901,0.0141667,0.00610865
1716433467.730973278,0.0141667,0.00610865
1716433467.780960345,0.0631289,0.00610865
1716433467.831011661,0.0631289,0.00610865
1716433467.881052780,0.0267158,0.00610865
1716433467.931020079,0.0267158,0.00610865
1716433468.030992247,0.0202225,0.00610865
1716433468.081054391,0.0144364,0.00610865
1716433468.130938675,0.0144364,0.00610865
1716433468.181055501,0.0376847,0.00610865
1716433468.231036571,0.0376847,0.00610865
1716433468.281057022,0.0455843,0.00610865
1716433468.331039282,0.0455843,0.00610865
1716433468.381077571,0.0184445,0.00610865
1716433468.431003804,0.0184445,0.00610865
1716433468.481076904,0.0315373,0.00610865
1716433468.530995397,0.0315373,0.00610865
1716433468.581046159,0.00452189,0.00610865
1716433468.631106230,0.00452189,0.00610865
1716433468.681079219,0.0202225,0.00610865
1716433468.731096209,0.0202225,0.00610865
1716433468.781099506,0.00727014,0.00610865
1716433468.831026333,0.00727014,0.00610865
1716433468.881031054,0.0174027,0.00610865
1716433468.931007127,0.0174027,0.00610865
1716433468.981065755,0.0211276,0.00610865
1716433469.030976463,0.0211276,0.00610865
1716433469.081062912,0.033265,0.00610865
1716433469.131112986,0.033265,0.00610865
1716433469.181056655,0.00503077,0.00610865
1716433469.231084221,0.00503077,0.00610865
1716433469.281030321,0.00452189,0.00610865
1716433469.331020115,0.00452189,0.00610865
1716433469.381130874,0.012696,0.00610865
1716433469.431041948,0.012696,0.00610865
1716433469.481097455,0.0362103,0.00610865
1716433469.530999766,0.0362103,0.00610865
1716433469.581077894,0.00727014,0.00610865
1716433469.631085649,0.00727014,0.00610865
1716433469.681103206,0.0255344,0.00610865
1716433469.731115279,0.0255344,0.00610865
1716433469.781068382,0.0105775,0.00610865
1716433469.831079913,0.0105775,0.00610865
1716433469.881161544,0.00708197,0.00610865
